City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
PARAMOUNT,CA,90723,5.7,11.4,16.47727273,290,92.8,382.8
LONG BEACH,CA,90815,5.7,11.4,16.47727273,290,92.8,382.8
LOS ANGELES,CA,90045,6.1,12.2,16.47727273,290,92.8,382.8
LOS ANGELES,CA,90002,6.4,12.8,16.47727273,290,92.8,382.8
LONG BEACH,CA,90808,8.4,16.8,16.47727273,290,92.8,382.8
ROSAMOND,CA,93560,8.9,17.8,16.47727273,290,92.8,382.8
TORRANCE,CA,90504,9.3,18.6,16.47727273,290,92.8,382.8
LONG BEACH,CA,90810,9.8,19.6,16.47727273,290,92.8,382.8
CARSON,CA,90745,10.1,20.2,16.47727273,290,92.8,382.8
SEAL BEACH,CA,90740,10.3,20.6,16.47727273,290,92.8,382.8
LONG BEACH,CA,90802,10.4,20.8,16.47727273,290,92.8,382.8
LOS ALAMOS,CA,93440,11,22,11.8852459,290,92.8,382.8
WILDOMAR,CA,92595,11.1,22.2,11.8852459,290,92.8,382.8
PACIFIC PALISADES,CA,90272,12.3,24.6,11.8852459,290,92.8,382.8
COMPTON,CA,90220,12.3,24.6,11.8852459,290,92.8,382.8
ATWOOD,CA,92811,12.5,25,11.8852459,290,92.8,382.8
SUNSET BEACH,CA,90742,13.1,26.2,11.328125,290,92.8,382.8
PALOS VERDES ESTATES,CA,90274,13.3,26.6,10.58394161,290,92.8,382.8
HERMOSA BEACH,CA,90254,13.8,27.6,10.58394161,290,92.8,382.8
LOS ALAMITOS,CA,90720,14.2,28.4,10.58394161,290,92.8,382.8
LONG BEACH,CA,90809,14.2,28.4,10.58394161,290,92.8,382.8
LONG BEACH,CA,90804,14.9,29.8,9.731543624,290,92.8,382.8
KEENE,CA,93531,14.9,29.8,9.731543624,290,92.8,382.8
SANTA MONICA,CA,90405,15,30,9.731543624,290,92.8,382.8
BAKERSFIELD,CA,93306,15,30,9.731543624,290,92.8,382.8
LONG BEACH,CA,90808,15,30,9.731543624,290,92.8,382.8
VISALIA,CA,93292,15.2,30.4,9.415584416,290,92.8,382.8
LIKELY,CA,96116,15.6,31.2,9.35483871,290,92.8,382.8
SEAL BEACH,CA,90740,15.7,31.4,9.17721519,290,92.8,382.8
EL SEGUNDO,CA,90245,15.8,31.6,9.17721519,290,92.8,382.8
VERNON,CA,90058,15.8,31.6,9.17721519,290,92.8,382.8
WILMINGTON,CA,90744,16,32,9.0625,290,92.8,382.8
LOS ANGELES,CA,90017,16.2,32.4,9.0625,290,92.8,382.8
LONG BEACH,CA,90803,16.4,32.8,8.787878788,290,92.8,382.8
LONG BEACH,CA,90807,16.4,32.8,8.787878788,290,92.8,382.8
MORRO BAY,CA,93442,16.7,33.4,8.787878788,290,92.8,382.8
MAGALIA,CA,95954,17.1,34.2,8.787878788,290,92.8,382.8
LAWNDALE,CA,90260,17.3,34.6,8.146067416,290,92.8,382.8
RIVERSIDE,CA,92503,17.3,34.6,8.146067416,290,92.8,382.8
LONG BEACH,CA,90805,17.8,35.6,8.146067416,290,92.8,382.8
FRESNO,CA,93725,18.1,36.2,8.011049724,290,92.8,382.8
DOWNEY,CA,90241,18.2,36.4,7.967032967,290,92.8,382.8
LOMITA,CA,90717,18.4,36.8,7.967032967,290,92.8,382.8
REDONDO BEACH,CA,90278,18.8,37.6,7.712765957,290,92.8,382.8
SOUTH GATE,CA,90280,18.8,37.6,7.712765957,290,92.8,382.8
SOUTH PASADENA,CA,91030,18.8,37.6,7.712765957,290,92.8,382.8
MARINA DEL REY,CA,90292,19,38,7.631578947,290,92.8,382.8
HUNTINGTON PARK,CA,90255,19.5,39,7.435897436,290,92.8,382.8
PLAYA DEL REY,CA,90293,19.6,39.2,7.435897436,290,92.8,382.8
STANTON,CA,90680,19.8,39.6,7.435897436,290,92.8,382.8
PALOS VERDES PENINSULA,CA,90274,19.9,39.8,7.178217822,290,92.8,382.8
CULVER CITY,CA,90232,19.9,39.8,7.178217822,290,92.8,382.8
GARDEN GROVE,CA,92846,20,40,7.178217822,290,92.8,382.8
TORRANCE,CA,90503,20.1,40.2,7.178217822,290,92.8,382.8
SAN PEDRO,CA,90734,20.1,40.2,7.178217822,290,92.8,382.8
CAMARILLO,CA,93010,20.2,40.4,7.178217822,290,92.8,382.8
MANHATTAN BEACH,CA,90266,20.6,41.2,7.073170732,290,92.8,382.8
FRESNO,CA,93728,20.6,41.2,7.073170732,290,92.8,382.8
TORRANCE,CA,90503,20.8,41.6,7.073170732,290,92.8,382.8
LOS ANGELES,CA,90012,21,42,6.807511737,290,92.8,382.8
PASADENA,CA,91105,21,42,6.807511737,290,92.8,382.8
MALIBU,CA,90265,21.1,42.2,6.807511737,290,92.8,382.8
LOS ANGELES,CA,90039,21.1,42.2,6.807511737,290,92.8,382.8
LOS ANGELES,CA,90041,21.2,42.4,6.807511737,290,92.8,382.8
MONTEBELLO,CA,90640,21.9,43.8,6.651376147,290,92.8,382.8
BREA,CA,92822,21.9,43.8,6.651376147,290,92.8,382.8
SANTA ANA,CA,92735,21.9,43.8,6.651376147,290,92.8,382.8
SAN SIMEON,CA,93452,22,44,6.561085973,290,92.8,382.8
SANTA RITA PARK,CA,93661,22,44,6.561085973,290,92.8,382.8
LOS ANGELES,CA,90001,22.4,44.8,6.502242152,290,92.8,382.8
HARBOR CITY,CA,90710,22.6,45.2,6.444444444,290,92.8,382.8
LEBEC,CA,93243,22.9,45.8,6.304347826,290,92.8,382.8
MANHATTAN BEACH,CA,90266,23.2,46.4,6.25,290,92.8,382.8
PASADENA,CA,91104,23.3,46.6,6.196581197,290,92.8,382.8
LOS ANGELES,CA,90042,23.5,47,6.196581197,290,92.8,382.8
GARDENA,CA,90247,23.6,47.2,6.11814346,290,92.8,382.8
REDONDO BEACH,CA,90277,23.6,47.2,6.11814346,290,92.8,382.8
HUNTINGTON PARK,CA,90255,23.6,47.2,6.11814346,290,92.8,382.8
LOS ANGELES,CA,90034,23.9,47.8,6.066945607,290,92.8,382.8
